カテゴリー,技術名,概要,レベル1［業務理解と業務補助］,レベル2［補助付きでの業務リード］,レベル3［業務リード］,レベル4［業務自体の進展と他者育成］,レベル5［業界の推進と新価値創造］
プロジェクト推進,コ・クリエーション,ワークショップ設計、利害調整、インセンティブ設計等の手段を講じ、立場や背景の異なるステークホルダーを支援し、価値創造や合意形成に導くことができる力。インクルーシブデザインの考え方に基づき、組織やサービスの社会的責任とブランディング双方の観点から必要な包摂的な共創の設計を行うことができ、実行することができる。,ワークショッププランニングの基礎的な流れを理解できており、社内外でのワークショップのファシリテーションサポートが定常的にできている。インクルーシブデザインに関する基本知識を有している。,目的に沿ったワークショッププランニングを独力で行うことができ、ワークショップのメインファシリテーションを務めることが定常的にできる。インクルーシブデザインを活用したプロジェクトを提案することができる。,プロジェクトの適切なタイミングでワークショップを組み込み、意図した成果を出すことができる。ワークショッププログラムの策定において、適切なインストラクションを設計することができ、即応性の高いファシリテーションができる。プロジェクトにインクルーシブデザインを取り入れ、多様な人々との共創機会を創出することができる。,意思決定権者である経営者や行政官との対話や共創ができる。組織内の利害対立や意思統一に対して、コ・クリエーション技術により具体的な成果を上げることができる。インクルーシブデザイン手法により、サービスの可能性を広げることができる。当該技術に関して他者育成の実績がある。,複数企業同士、利害対立する生活者、労使間、行政課題等のさまざまな利害関係の対立するステークホルダーの対話を促し、共創・包摂プロセスを通して、社会の視座から見て際立った発展的・創造的な解決策を導くことができ、成果を上げることができる。コ・クリエーションの知見を社会に還元し、業界をリードする立場にある。
関係管理,ネットワーキング,デザインプロジェクトをつくり出す力。協働する力。ネットワークを多様にもち、自社やプロジェクトにそれらを活用できる力。社会のデザイン価値拡大のために広いネットワークを構築することのできる力。,定常的に外部関係者とのリレーションをもち、ネットワークを広げる活動を実践している。社会においてデザインの価値を向上させるネットワークを複数有している。,自身の保有パートナーでは対応できない際などにおいても、プロジェクト責任者を含む社内メンバーに協力を仰ぎ速やかに適切なパートナーをアサインすることができる。自身のネットワークからデザインに関する相談が複数来ている。,複数パートナーの中から適切に選定・アサインすることができ、トラブルなく業務推進ができる。自身のネットワークから有益な情報をコンスタントに社内展開している。自身のネットワークからデザインに関する相談が定常的に来ている。,単一業種だけではない幅広い社外協業先ネットワークをもち、主体的に社内メンバーへパートナー情報を紹介でき、業務成果を出すことができる。パートナー活用の相談先として定着している。自身のネットワークから定常的に社内にプロジェクトを展開できている。自身からパートナーに働きかけ、組織、社会変革のための有益な共創関係が築ける。,自身のネットワークから、自社の未来を創造する新規領域業務を創出することができる。自社事業領域外の案件も複数のパートナーネットワークからチーム組成を行い、プロジェクトを推進することができる。自身のネットワークにおいて、市場における自社のプレゼンス向上に寄与する活動を行い、成果を上げている。
関係管理,アカウントリレーション,新規顧客の創出や、既存顧客との継続的な伴走など、幅広くリレーションを構築する力。顧客やリードに対して、適切な問題・課題把握とそれに対応する情報提供や提案を経て、自社への期待・信頼を得ることができる。既存顧客へは、潜在的なプロジェクトリスクに迅速に対応し、信頼につなげられる。信頼関係を長期的に築き、取引終了後も伴走し価値を提供し続ける。そのための情報管理や社内連携を行うことができる。,上長やプロジェクト責任者の補助のもと、顧客の課題理解と提案、プロジェクトリスクの察知および対応など、基本的な顧客対応ができる。社内メンバーに対してアカウント管理の視点から業務支援をすることができる。,顧客の課題理解と提案、プロジェクトリスクの察知および対応など、基本的な顧客対応ができる。顧客対応に関する情報を社内関係者と共有し、組織的な提案に貢献することができる。新規リード創出のための未取引客へのアプローチや、既存顧客へのリテンション活動を実践できる。,顧客の潜在ニーズや自社の潜在リスクを察知することができ、担当顧客に対して体制構築を含め実行プラン・改善策の提示ができる。複数の顧客や潜在顧客から高い信頼を得ている。リードナーチャリングやリテンションに必要な施策の企画から実行管理までを行うことができる。,既存・新規問わず、顧客から信頼され、全社横断的なプロジェクト創出を定常的に行える。既存顧客へ付加価値が高い提案を継続的に行い、顧客の活動ステージを上げるような貢献ができる。顧客から定期的に相談が寄せられる。リードジェネレーションやリードナーチャリング、リテンションなどの手法を発展的に活用し、業務水準を向上させられる。,大規模プロジェクトや抽象度・難度が高いプロジェクトにおいて解決に向けたプロジェクトを構築し、推進することができる。複数の顧客マネジメント層と信頼関係を構築できる。アカウントリレーションの知見を発展させ、それを公開し業界に貢献できる。成果を継続的に生み出し、産業の発展と社会生活・文化の発展に貢献できる。
関係管理,ネゴシエーション,金額、スケジュール、契約内容、プロジェクト要件、技術要件などの各種条件を交渉し、自他含め健全なビジネス環境をつくり出す力。顧客やパートナーとの適正な業務状況をつくり出すための行動力が身に付いており、「交渉時」以外でも常時発揮される。「交渉力」のコントロールと、「交渉力」を生かした「交渉能力」の技術を有している。プロジェクト成果に必要な意思決定に対し、根拠や検討軸を示し、全体最適に向けた働きかけ・調整等の行動を取ることができる。,上長やプロジェクト責任者の補助のもと、予算・スケジュール・プロジェクト要件など顧客との交渉ができ、問題なく遂行できる。通常業務における平時対応について問題ない交渉ができる。成果達成のための必要な説明能力を有している。,独力で交渉を進められる。リスクを察知することができる。交渉時のポイントを見分けられ、適正なプロセスで対処することができる。プレゼンスコントロールが常時身に付いている。,交渉のストーリーを独力で描き、実行できる。自身の関わりのない案件においても他者にアドバイスできる。プロジェクトの内容に応じた適切な契約形態を選択することができる。リスク管理およびコンプライアンス遵守の観点から、関連する法令（著作権、商標権、特許権など）の基礎的な知識をもっており、遵法性を意識した合意形成が図れる。,プロジェクト要件の変更、内部事情による体制変更、見積もり変更などの発生時、種々の問題発生時にも、顧客に対して適切な説明・交渉の上、健全な業務環境を維持することができる。自身だけでなく他の交渉担当者に対しても支援することができる。,提携交渉、法的対応等、重要な交渉事に対し、役員関与のもと、迅速で十分な情報収集、分析、交渉ストーリーの設定などを行い、自社にとって重大な交渉対応を実行することができる。
関係管理,ドキュメンテーション,クライアントプロジェクトおよび社内業務において、調査分析やその他情報収集、他者との連携を行い、有用な資料やコンテンツを作成することができる。必要十分な情報量と情報構成、わかりやすい文章表現や図表化を通して、社内外のステークホルダーとの円滑な情報流通と共創を促すことができる。,ロジカルシンキングが身に付いている。プロジェクト責任者の視点から「それほど手を加えなくてもよい」水準で資料作成ができている。,「わかりやすく」「内容が事実と相違なく」「校正が十分であり」「引用や注釈が適切にされている」問題のないプロジェクト資料や社内資料を独力で作成することができる。ロジックツリーやパラグラフ・ライティングといった文章作成技法が身に付いている。,資料やコンテンツを作成するにあたり、自身で論旨展開や役割分担を設定し、他者に指導・連携した上で、「成果達成に向けて十分な品質を備えた」資料をチームで作成することができる。,大規模な行政文書や報告書等の重要な納品物を、社内外で連携し作成することができる。ドキュメントの内容に関してコンプライアンス（法令遵守、社会規範の尊重）、インクルージョンの観点などを踏まえた十分な品質担保ができる。当該技術に関して、他者を育成し組織の技術向上に貢献できる。,社内外、業界の内外を問わず、専門的な知見や重要な暗黙知を収集・編集し、市場や業界に影響力のある資料やコンテンツを作成することができる。社外のパートナーや団体と連携して、業界標準の策定に関わるなど、新しい価値を創造する活動ができる。それにより自社のプレゼンスを向上させることができる。
リサーチ＆プロトタイピング,マーケティング＆デザインリサーチ,プロジェクト課題を適切につかみ、そのゴールや目的に応じて適切なリサーチ・評価の計画を設計・立案し、実行する力。リサーチ・検証を、定量・定性、マーケティング・UXデザイン、生成的・検証的など、多面的に行うことができる。目的達成に必要なリサーチとユーザーテストなどをアレンジできる。取得された定量・定性データに対して、リサーチの目的とデータの性質に適した分析を行い、統計的事実やインサイトなど有益な結果を抽出することができる。さらに発展し、社会に有用な問題発見、意味創出に寄与する創造的なリサーチ活動の実践によるクリエイティビティを発揮することができる。,基本的な各種リサーチ手法や業務の流れを理解し、プロジェクト責任者の指示のもと、リサーチや検証、分析を実施することができる。グラフ・図表等を含む統計情報や分析結果を読み解くことができる。必要な報告を適切に行うことができる。,プロジェクト責任者と相談しながら、プロジェクトに必要なリサーチ・検証手法の選択や実施のプランニングを適切に行うことができる。調査計画および分析をロジカルに整理することができ、顧客に提示できる水準の精度を出すことができる。調査結果のデータの分析から課題の抽出を行い、結果を顧客に報告できる。,独力でリサーチ・検証手法の選択や実施のプランニングを行うことができる。調査や分析の設計・実行、有益なインサイトの発見や仮説構築を推進し、意思決定者を支援することができる。リサーチ・検証手法や、AI等の技術やデータ活用のトレンドを押さえており、社内の相談にも適切に回答できる。,「厄介な問題」解決を目指すような難度の高いプロジェクトにおいて、適切に情報収集と整理を行った上でリサーチ・検証手法を選択し、それをどの規模・範囲で行うかを設定し、ビジネス成果を出すための設計・遂行をすることができる。効率的なリサーチ・検証のためにメンバーに適切にタスクを振り分けることができる。他者育成の実績がある。,調査の進め方、分析手法、まとめ方などをカスタマイズ・独自開発することができる。また、独自の視点や分析能力、技術活用にてリサーチ単独の価値を対内外に発信できる。社会的インパクトのあるインサイトを提示した実績を有しており、その知見を社会に還元し、業界をリードする立場にある。
リサーチ＆プロトタイピング,エンジニアリングリサーチ,言語仕様や技術トレンドの理解を深め、プロジェクトに必要な技術選定と評価、試作と検証、実現可否の判断、代案の提示ができる力。,プロジェクト責任者の指示のもと、リサーチを実施し、結果に基づいた技術面の検討・設計に必要な報告を適切に行うことができる。,プロジェクト責任者と相談しながら、リサーチを実施し、結果に基づいた技術面の選択肢を提示することができる。,機能要件を正しく理解し、独力でリサーチを実施することができる。優先度やメリット・デメリットを踏まえた複数のアプローチや技術を提示するなど、リサーチ結果から最適な開発方針を提案することができる。,プロジェクト要件に適したリサーチ範囲・方法を検討し、実施を推進することができる。リサーチ結果を踏まえ、社内で事例のないアプローチや技術でも積極的に採用し、顧客の課題解決につながる提案をすることができる。,独自の視点や分析能力を発揮し、対外的に技術的な情報発信をすることで、自社の提供価値や売り上げの向上・対外アピールに貢献することができる。エンジニアリングリサーチの教育・指導ができる。
リサーチ＆プロトタイピング,プロトタイピング,プロジェクトの目的に合わせて、最も効果的かつラピッドにプロトタイプを構築し、検証するためのアプローチを設計する力。価値・フィジビリティ・ルック＆フィールの3つの観点それぞれのプロトタイピングに関する技術や手法に精通し、その中から最適な方法を組み合わせてプロジェクトに応用することができる。構築するだけではなく、顧客課題を踏まえた検証プロセスまで含めて設計することができる。,プロジェクト責任者の指示のもと、プロトタイピングの方法を検討し、必要な報告を行いながら、適切に実行することができる。,プロジェクト責任者と相談しながら、プロトタイプ構築と検証設計を行うことができる。プロトタイピングのための手法や技術に関する一般的なトレンドは一通り理解できており、その中から適切な方法を選択することができる。,プロジェクトの目的に合わせて、最も効果的かつラピッドにプロトタイプを構築し、検証するためのアプローチを主体的に設計し、実行することができる。プロトタイピングのための手法や技術に関する最新の動向やトレンドを把握した上で、最適な方法を積極的に提案することができる。,技術面のみならず、ビジネス要件も踏まえてプロジェクトにおけるプロトタイピングの位置付けを理解し、顧客課題を踏まえた最適なプロトタイピングと検証のプロセスをプロジェクト設計に組み込むことができる。社内でのノウハウ強化や他者育成に貢献することができる。,プロトタイピングに関する先見的なベストプラクティスを独自に開発し、プロジェクトに応用することができる。そのような知見を対外的に情報発信することで、業界での影響力をもつ。
クオリティ管理,デジタルプロダクトディレクション,デジタルプロダクト・メディアにおいて、ユーザー体験を包括的に捉え、利用者にとって使いやすく魅力的なプロダクトやサービスのアーキテクチャの設計・ルック＆フィールの策定、またはその実装ディレクションを行うことができる。最新のテクノロジーやデザイントレンドに関する知識を常時アップデートし、クオリティ管理やデザイナー・エンジニアへのディレクション、組織のメンバーのマネジメントに貢献することができる。,プロジェクト責任者の支援のもと、ステークホルダーやプロジェクトメンバーと円滑なコミュニケーションを行い、対象プロダクト・メディアのアーキテクチャ設計・インタラクションデザイン・ビジュアルデザインをディレクションすることができる。,アーキテクチャ設計・インタラクションデザイン・ビジュアルデザインとそのプロセスのクオリティを担保。ステークホルダーとの合意形成・社内外のプロダクトデザイナーやエンジニアへのディレクションを担い、プロジェクトを円滑に進めることができる。,ビジネスや技術面における要求事項を主体的に咀嚼、ステークホルダーとの構造的な関係性を明らかにし、デザインシステムなどの運用性・拡張性の高い高付加価値のアウトプットを導き出すことができる。プロジェクト内でのUX/UIデザイナーやエンジニアのマネジメントができる。,ビジネスやエンジニアリング分野の専門家とも主体的に連携し、生活者・ユーザーへの提供価値やビジネス戦略を包括したアーキテクチャ・デザインシステムを含む世界観の提案・構築を担い、自社の代表的な成果を残すことができる。組織においてもUX/UIデザイナーの育成・マネジメントを継続的に担うことができる。,プロダクトやサービスの構想段階からコミットし、市場や顧客のニーズを的確に捉えた意思決定ができる。多義的にデザインの構想・推進を行い、自身の手法や方法論を社外にも発信し、業界の発展に寄与するビジョンを示す。組織においてもUX/UIデザイナーやエンジニアの採用・育成・マネジメントを広い視野で担うことができる。
クオリティ管理,アートディレクション,コンテンツデザインの特性を理解し、顧客課題に対して適切な解決策やコンセプトの立案・提示を行い、魅力的で伝わるコンテンツを創出する力。成果物の品質担保、コンテンツディレクション、社内外クリエイターへのディレクション、社内のコンテンツデザイナーやUX/UIデザイナーのマネジメントに貢献できる。,小規模案件において、顧客の課題を理解し、アウトプットの方針を自ら提案し、実現することができる。,ビジュアルデザインリード、コンテンツリードを主体的に行い、社内外のクリエイターを方針に沿ってディレクションし、アウトプットを適切に導くことができる。効果的なプレゼンテーションを行い、ステークホルダーとの合意形成を図ることができる。プロジェクトを円滑に進めることができる。,顧客の課題を十分に理解・咀嚼し、幅広いアウトプットの引き出しから、効果の高い解（クリエイティブだけでなくコンテンツ全体）を提案できる。プロジェクトチーム内で、社内外のクリエイターのマネジメントができる。紙・デジタル等メディアを問わず、適切なアウトプットを提案できる。,幅広いメディアへの深い理解をもち、表層的なアウトプットのみならず、生活者・ユーザーへの提供価値・体験や、顧客の課題解消の効果的な解を生み出せる。自社の代表的な事例をつくることができ、独力でプロジェクト化できる。どのメンバーと組んでも一定のクオリティが出せ、成長を促すマネジメントができる。,問題解決や意味創造のために、ブランド戦略立案やコミュニケーションチャネル設定の段階からチームを牽引し、効果の高いソリューションを多義的に構想できる。自身のアートディレクションのノウハウを社外に発信でき、業界に貢献する実績がある。組織の人材育成・マネジメントを広い視野で担うことができる。
クオリティ管理,テクニカルディレクションクオリティ・技術管理,フロントエンド・バックエンド開発の設計・開発工程のプロセスとタスクを理解し、専門的な知識とディレクション能力で進行をリードすることができる。課題点や解決方法を提示しながらシステム設計を推進し、システムの品質評価と管理を行うことができる。,設計・開発工程のプロセスとタスクを理解し、全体またはその一部タスクの進行管理を行うことができる。,設計・開発工程の全体またはその一部のタスクを推進し、アウトプット品質を担保することができる。顧客との合意形成を推進し、プロジェクトを円滑に進めることができる。,顧客の課題やシステム要件を正しく理解し、必要な視点や方針を示しながら、システム設計の推進を行うことができる。職種と役割を超えてプロジェクトメンバーをディレクションし、システムの品質評価と管理を行うことができる。,技術面でのアウトプットのみならず、ユーザーへの提供価値・ビジネス要件を考慮した運用・管理、システムの提案・構築ができる。組織における人材育成・マネジメントを継続的に担うことができる。,サービスやプロダクトの構想段階からコミットし、主にシステム面からプロジェクトを推進することができる。組織の人材育成・マネジメントを広い視野で担うことができる。
デザイン開発,エクスペリエンスデザイン,対象となるコンテンツ・サービス・製品・システムにおけるユーザー体験・カスタマー体験のデザインを行う力。必要な調査・分析を実行し、得られたインサイトをもとにユーザーの要求を満たすユーザー体験を構想し、実行に向けたアクションを起こすことができる。フロントステージのユーザー、カスタマー体験だけでなく、バックステージの従業員体験も設計することができる。,UXデザインやHCDについての基礎的な必要最低限の知識を身に付けている。プロジェクト責任者の指示のもと、タスクを遂行することができる。,基本的なUXデザインの手続きを理解し、主体的にタスクを遂行できる。ユーザー調査結果からインサイトを導くための手法（価値マップ作成など）や、ユーザーテストによる課題抽出、ユーザーの体験フローの可視化（ジャーニーマップなど）などを自身で実施することができる。,専門的な知識・スキルを有し、サービスやプロダクトにおけるユーザー体験の構想・設計を推進することができる。調査・テスト設計、コンセプト策定を行い、ステークホルダーへの提案と理解促進に大きく貢献できる。,ユーザー体験構想のために必要なプロセス検討を行い、プロジェクトプランの設計・提案を実行できる。顧客提案価値を満たすための、フロントとバック双方の体験設計ができ、その中のトレードオフ解消に対し、有意な提案をすることができる。豊富な知識とスキルを組み合わせ、新たな付加価値の提供や他者育成に貢献できる。,UXデザインに関する社会的な知見の普及発展を担うことができる。ユーザー理解のプロセスを経たプロジェクト・製品・事業の企画やデザイン手法の開発を行い、市場に対して新しい価値を提案できる。顧客の複雑な業務体系、人事体系、インセンティブ体系等を把握し、最終顧客課題・経営課題双方を満たす体験設計の解答を示すことができる。
デザイン開発,情報設計,プロジェクトのビジネス要件や定義されたユーザー体験・改善すべき業務上の課題を踏まえ、情報・コンテンツの役割やあり方・関係性・構造などを総合的に整理・分類・定義を行い、利用者に提供するコンテンツ・インターフェースや業務における管理方針・フローを設計する力。,情報設計の基本的な手法・プロセスを理解している。プロジェクト責任者の指示のもと、与えられたインプットから、自身が担当する範囲で適切なアウトプットをすることができる。,プロジェクト責任者の支援を受けながら、設計業務を社内でリードすることができる。,専門的な設計スキルを有し、アウトプットの目的とゴールをもとに、具体化のための検討プロセスを独力で設計することができる。自身のスキルで主体的に検討プロセスを遂行し、顧客との合意形成を行うことができる。既存メディアやサービスについて情報設計観点での改善示唆を行うことができる。,顧客の課題とユーザーニーズを分析し、アウトプットの役割・ゴールと成果指標を定義することができる。具体化のプロセスを提案し、社内外の検討をリードしてプロジェクトを推進することができる。メンバーのアウトプットへのレビューを行い、他者の育成も担うことができる。,情報設計による課題解決を高いレベルで実現し、高い評価を得られる具体的な成果へ導くことができる。新しい設計手法や概念を積極的に取り入れ、組織の対応力底上げや業界的な評判に貢献することができる。
デザイン開発,UIデザイン,利用者にとってわかりやすく、使いやすく、アクセスしやすいデジタルプロダクトのUIをデザインする力。機能要件の理解、ユースケースとオブジェクトの整理・再構築、汎用性・拡張性・一貫性をもったコンポーネントやビューの設計、実現性を担保するためのエンジニアとの円滑なコミュニケーション、更新・改定を踏まえたドキュメンテーションを行う能力を有している。,ユーザビリティ・アクセシビリティ・オブジェクト指向UIの設計思想と一般的なOSのUIガイドラインに関する基礎知識を有している。上位者の指導のもと、要件をもとにしたUIをデザインできる。目的に応じてUIのプロトタイピングを行い、使いやすさの検証ができる。,上位者と協業し、要件をもとにしたUIのデザインとUIの意図や仕様の説明や説明のためのドキュメンテーションができる。エンジニアとの実現性観点のコミュニケーションができる。目的に応じたプロトタイピング手法の選択と実行ができる。,対象となるデジタルプロダクト全体または部分のデザイン要件の定義、合意形成などのコミュニケーションをリードできる。エンジニアとの実現性観点のコミュニケーションが円滑に行える。更新・改定を踏まえた仕様やルールのドキュメンテーションができる。,要求分析と定義、要件定義、デザイン、実装などの一連のデジタルプロダクト構築における工程で貢献できる。UIデザインプロジェクトのプラン（工程・手段・期間・体制）作成、品質管理のためのディレクションを行うことができる。他者育成を担える。,専門的価値が社内外で認知されている。新たなデザイン手法や商材の企画・開発・プロジェクト実施を経て、市場に向けてその成果の発信・提案を継続的に行うことができる。
デザイン開発,エンジニアリング設計,プロジェクトのシステム要件や定義されたユーザー体験、改善すべき業務上の課題を踏まえて、設計方針や手法を提案しながら開発仕様に落とし込む力。インタラクションや使い勝手などの機能面と、拡張性・安全性・保守性などの業務面を考慮したフロントエンド・バックエンドの仕様を設計し、実装につなげることができる。仕様やルールをドキュメントとしてアウトプットすることができる。,プロジェクト責任者の指示のもと、与えられたインプットから、システム設計に必要なアウトプットをすることができる。,自身の専門領域における設計知識を有し、プロジェクト責任者の支援を受けながら、システム設計のプロセスを遂行することができる。,前後工程の担当メンバーと、円滑なコミュニケーションのもと仕様検討を推進できる。エンドユーザーと顧客双方に有益な開発仕様を設計することができる。仕様やルールをドキュメントとしてアウトプットすることができる。,顧客の課題や開発要件をもとに、プロジェクトに最適な設計方針と検討プロセスを提案し、高度な開発仕様の設計を推進することができる。プロジェクトメンバーのアウトプットの評価と管理を行い、プロジェクトの各工程で設計品質を担保することができる。,大規模案件の要件定義・開発仕様の設計など、顧客の課題解決をシステムで支援するための具体に落とし込む検討をリードすることができる。マルチベンダー体制での役割分担を超えて、プロジェクトに有益な提案を行うことができる。アクセシビリティ観点を踏まえた設計やアウトプットの評価ができる。
デザイン開発,コンテンツマネジメント,プロジェクト要件からコンテンツの役割・ゴールを定め、生活者・ユーザーへのリーチ方法を含めてコンテンツを企画し、具体的な成果を提示することができる力。リサーチ技術を活用し、タッチポイントに応じたコンテンツ提供手段や集客を検討することができる。ステークホルダーを動かすコンテンツを企画し、ライターとも協働し、具体化をリードすることができる。コンテンツを創出するだけでなく、その効果測定・ROIの提案等を顧客に行い、「コンテンツ」が成果を上げ続ける計画を提示することができる。,プロジェクト責任者の指示のもと、コンテンツ検討に必要なアウトプットをすることができる。,プロジェクト責任者の支援を受けながら、コンテンツ検討に必要なプロセスを遂行し、アウトプットすることができる。,コンテンツを評価する手法を理解している。具体的な成果やユーザーへの提供手段・集客等を含めたコンテンツを提案し、具体化のプロセスを遂行することができる。開発体制構築、品質管理、運用管理を行える。,プロジェクトにおけるコンテンツの役割・ゴールと成果指標を定義することができる。成果を最大化するための企画と検討プロセスを提案し、具体化をリードすることができる。メンバーのアウトプットへのレビューを行い、他者育成も担うことができる。顧客企業が事業成果を達成するための中長期のコンテンツ運用プランを提示することができる。,プロジェクトの要件に応じて提供方法にとらわれないさまざまなコンテンツの提案を行い、具体的な成果へ導くことで高い評価を得られる。新しい設計手法や概念を積極的に取り入れ、組織の対応力底上げや業界的な評判に貢献することができる。コンテンツマーケティングに関して顧客マネジメント層の高い信頼を獲得している。
デザイン開発,コンテンツデザイン,伝わる、心を動かすコンテンツを、情報を創出・整理し編集的にデザインする力。事業内容、企業ビジョン、顧客が伝えたいことをストーリー・形にすることができる。コンテンツをゼロ段階から企画・創出することができる。また、高速にコンテンツを創出し検証を行えるようにするなど、プロトタイピングにおいても成果を上げることができる。,プロジェクト責任者の指示・監督のもとで、支給された情報素材を整理し、編集的にデザインすることができる。,支給された情報素材に対して過不足の精査ができ、編集的にデザインすることができる。また、そのような業務を遂行するポジションとして方針設定・意思決定業務を担当することができる。,自ら顧客と交渉し、目的に合った適切なコンテンツデザインを提案、遂行することができる。情報素材の支給を受けずともゼロベースでコンテンツをつくり上げることができる。紙メディア・デジタルメディア問わず、コンテンツを創出することができる。そのような業務をリードするポジションとして方針設定・意思決定業務を担当することができる。,社内重要案件を担い、幅広いメディアへの深い理解と、顧客に信頼される品質とスピードを保証できる。生活者・ユーザーのニーズと顧客の訴求したいポイントを捉え、編集的なデザイン手法で効果的なコンテンツを創出することができる。他者育成に対し実績を有する。,コンテンツデザイン領域において、あらゆるコミュニケーションメディアの開発や運用、事業開発・運用、ブランド構築など、どのような業務においても高いパフォーマンスを有する。最終アウトプットの創出のみならず、適切なプロトタイピング手法等にも精通し、「コンテンツ」「コミュニケーション」に携わる全ての課題で成果を出せる。
デザイン開発,ビジュアルデザイン,ビジュアルデザインの知識を有し、課題解決・正確な情報伝達・世界観の確立・価値の探索など、可視化する能力をもってプロジェクトに貢献する力。感性的な価値、意味的な価値を向上させることができる。静的・動的などの特性を捉えた、媒体を限定しないビジュアル表現ができる。,ビジュアルデザインの基礎能力をもち、上位者の指導のもと、目的に応じて最適な視覚表現を選定することができる。成果物を求められる時間内に完成させることができる。,単独でビジュアルデザインを遂行することができる。顧客やユーザーに対してプレゼンテーションし、デザインの意図や判断軸の提示など、意思決定の補助となる言語化を問題なくできている。上位者の管理のもと、検証目的や条件に即したプロトタイプや、市場流通できる完成度の成果物を納品することができる。,事業戦略やコミュニケーション戦略を、ビジュアルデザインに正しく、もしくはポジティブに軌道修正するようなレベルで反映することができる。ビジュアルデザインの技術によって必要な成果達成に貢献することができる。各種メディアの特性を理解し、領域を横断して魅力的なビジュアルを構想できる。独力で市場流通できる完成度の成果物を納品できる。,顧客にとって、自社にとって競合優位になる水準のビジュアルを創出できる。生み出した成果によって、指名で繰り返し引き合いがありプロジェクト化することができる。該当技術に関して他者育成の実績を有する。,自社のビジュアルデザインのケーパビリティ向上の中心人物として機能している。成果が業界内で広く知られ高い評価を得ている。自身の成果により、高条件のプロジェクトを創出することが定常的にできている。
デザイン開発,ビジュアルディレクション,イラストレーターやフォトグラファー、映像クリエイター、スタイリストやヘアメイクなど、複数の職能を動かし成果を上げることができる。幅広いネットワークをもち、プロジェクトに応じて活用し、適切な指示出しのもと高品質のアウトプットを生み出すことができる。,プロジェクトゴールを十分に理解した上で、プロジェクト責任者に対し、どういうプロフェッショナルが必要かを最適な形で提案することができる。,プロジェクト責任者から求められるビジュアル表現に応じて社内外のプロフェッショナルに適切にアサイン、指示（実行補佐）ができる。実行補佐として成果を十分に上げることができる。イラストレーター、フォトグラファー、映像クリエイターに対する知見を有する。,顧客に対して常に目的に合致したプロフェッショナルを提案、アサインすることができる。社内外のプロフェッショナルに適切なディレクションができ、高品質なアウトプットを創出できる。イラストレーター、フォトグラファー、映像クリエイター、その他ビジュアル創出に関わるあらゆる表現手段に対して、解決策を考案できる。,あらゆる表現メディアのプロフェッショナルを提案、アサインすることができる。適切なコストコントロールと社外プロフェッショナルの力を十分に引き出すことができる。社内の自案件以外でも適切に助言できる。自身のネットワークを社内に有効に活用させることができる。社内で指導的立場で他者育成に寄与できる。,すでに評価の高い社外プロフェッショナルをアサインできるリレーションをもつ。潜在的な人材発掘ができ、適切なコストコントロールのもとプロフェッショナルの力を存分に引き出すことができる。自分が関わる仕事のみならず、社内外から相談を受けるなど、コーディネーターとして豊富なスペシャリストのネットワークをもっている。あらゆる表現メディアに対してアサインの助力をすることができる。
デザイン開発,映像制作,映像全般の知識を有し、企画・シナリオ・絵コンテなどプリプロダクション工程で構想された方針に基づき、映像表現上の構成・演出を行う力。撮影（プロダクション工程）・編集（ポストプロダクション工程）・その他映像技術を用いて制作し、適切な形で納品することができる。,映像制作業務の責任者の指示・監督のもとで、制作・撮影・編集などのアシスタント業務を行うことができる。,プロジェクト方針によって定められた構成・演出プランをもとに、制作・撮影・編集を主体的に行い、アウトプットを導くことができる。映像業務のディレクターとしてシニアメンバーの支援のもと、方針設定・意思決定業務を担当できる。プレゼンテーションを行い、ステークホルダーとの合意形成ができ、プロジェクトを円滑に進めることができる。,自ら顧客と交渉し、目的に合った適切な映像制作を提案・遂行できる。映像業務のディレクターとして方針設定・意思決定業務を担当することができる。方針に沿って社内外のプロフェッショナルをディレクションできる。独力でプロジェクト化できる実力を有する。,映像表現を生かした、コミュニケーションプランを構築・提案することができる。周辺メディアとの接続を行うことができる。生活者・ユーザーへの価値・体験提案や、顧客の課題解消に対して、デザインの手法を用いた効果的な映像を創出することができる。他者育成に対し実績を有している。,映像領域において、コミュニケーションメディアの開発・運用、ブランド構築などの周辺業務で高いパフォーマンスを有する。最終アウトプットの創出のみならず、ユニークな映像表現を開発し、「コンテンツ」「コミュニケーション」に携わる全ての課題で成果を出せる。自身の映像制作のノウハウを社外に発信し、業界に貢献できる。組織における映像ディレクター・映像プロデューサーの育成・マネジメントを広い視野で担うことができる。自社の代表的な事例をつくることができる。
